id,Districts,Region ID
43,Asunafo North Municipal,13
44,Asunafo South District,13
45,Asutifi North District,13
46,Asutifi South District,13
47,Tano North Municipal,13
48,Tano South Municipal,13
49,Adansi North District,12
50,Adansi South District,12
51,Afigya Kwabre District,12
52,Ahafo Ano North Municipal,12
53,Ahafo Ano South West District,12
54,Amansie Central District,12
55,Amansie West District,12
56,Asante Akim Central Municipal,12
57,Asante Akim North District,12
58,Asante Akim South Municipal,12
59,Asokore Mampong Municipal,12
60,Atwima Kwanwoma District,12
61,Atwima Mponua District,12
62,Atwima Nwabiagya Municipal,12
63,Bekwai Municipal,12
64,Bosome Freho District,12
65,Bosomtwe District,12
66,Ejisu Municipal,12
67,Ejura Sekyedumase Municipal,12
68,Kumasi Metropolitan,12
69,Kwabre East Municipal,12
70,Mampong Municipal ,12
71,Obuasi Municipal,12
72,Offinso Municipal,12
73,Offinso North District,12
74,Sekyere Afram Plains District,12
75,Sekyere Central District,12
76,Sekyere East District,12
77,Sekyere Kumawu District,12
78,Sekyere South District,12
79,Oforikrom Municipal,12
80,Kwadaso Municipal,12
81,Old Tafo Municipal,12
82,Asokwa Municipal,12
83,Suame Municipal,12
84,Juaben Municipal,12
85,Ahafo Ano South East District,12
86,Amansie South District,12
87,Atwima Nwabiagya North District,12
88,Akrofuom District,12
89,Adansi Asokwa District,12
90,Obuasi East District,12
91,Afigya Kwabre North District,12
92,Banda District,15
93,Berekum Municipal,15
94,Dormaa Central Municipal,15
95,Dormaa East District,15
96,Dormaa West District,15
97,Jaman North District,15
98,Jaman South Municipal,15
99,Sunyani Municipal,15
100,Sunyani West District,15
101,Tain District,15
102,Wenchi Municipal,15
103,Berekum West District,15
104,Atebubu Amantin Municipal,14
105,Kintampo North Municipal,14
106,Kintampo South District,14
107,Nkoranza South Municipal ,14
108,Nkoranza  North District,14
109,Pru East District,14
110,Sene East District,14
111,Sene West District,14
112,Techiman Municipal,14
113,Techiman North District,14
114,Pru West District,14
115,Abura Asebu Kwamankese District,16
116,Agona East District,16
117,Agona West Municipal,16
118,Ajumako Enyan Essiam District,16
119,Asikuma Odoben Brankwa District,16
120,Assin Central Municipal,16
121,Assin South District,16
122,Awutu Senya East Municipal,16
123,Awutu Senya West District,16
